Company,TypeName,Cpu,Ram,Weight,Price,Touchscreen,IPS,ppi,HDD,SSD,Gpu brand,OS
Apple,Ultrabook,Intel Core i5,8,1.37,71378.6832,No,Yes,226.98300468106115,0,128,Intel,Mac
Apple,Ultrabook,Intel Core i5,8,1.34,47895.5232,No,No,127.67794013309688,0,0,Intel,Mac
HP,Notebook,Intel Core i5,8,1.86,30636.0,No,No,141.21199808219862,0,256,Intel,Other OS
Apple,Ultrabook,Intel Core i7,16,1.83,135195.336,No,Yes,220.53462386625827,0,512,AMD,Mac
Apple,Ultrabook,Intel Core i5,8,1.37,96095.808,No,Yes,226.98300468106115,0,256,Intel,Mac
Acer,Notebook,AMD Processor,4,2.1,21312.0,No,No,100.45466986113651,500,0,AMD,Windows
Apple,Ultrabook,Intel Core i7,16,2.04,114017.6016,No,Yes,220.53462386625827,0,0,Intel,Mac
Apple,Ultrabook,Intel Core i5,8,1.34,61735.536,No,No,127.67794013309688,0,0,Intel,Mac
Asus,Ultrabook,Intel Core i7,16,1.3,79653.6,No,No,157.3505121487356,0,512,Nvidia,Windows
Acer,Ultrabook,Intel Core i5,8,1.6,41025.6,No,Yes,157.3505121487356,0,256,Intel,Windows
HP,Notebook,Intel Core i5,4,1.86,20986.992,No,No,100.45466986113651,500,0,Intel,Other OS
HP,Notebook,Intel Core i3,4,1.86,18381.0672,No,No,141.21199808219862,500,0,Intel,Other OS
Apple,Ultrabook,Intel Core i7,16,1.83,130001.6016,No,Yes,220.53462386625827,0,256,AMD,Mac
Dell,Notebook,Intel Core i3,4,2.2,26581.392,No,No,141.21199808219862,0,256,AMD,Windows
Apple,Ultrabook,Other Intel Processor,8,0.92,67260.672,No,Yes,226.41554716935852,0,256,Intel,Mac
Apple,Ultrabook,Intel Core i5,8,1.37,80908.344,No,Yes,226.98300468106115,0,256,Intel,Mac
Dell,Notebook,Intel Core i7,8,2.2,39693.6,No,No,141.21199808219862,0,256,AMD,Windows
Apple,Ultrabook,Intel Core i7,16,1.83,152274.24,No,Yes,220.53462386625827,0,512,AMD,Mac
Lenovo,Notebook,Intel Core i3,8,2.2,26586.72,No,No,141.21199808219862,1000,0,Nvidia,Other OS
Dell,Ultrabook,Intel Core i5,8,1.22,52161.12,Yes,Yes,165.6321180513006,0,128,Intel,Windows
Asus,Netbook,Other Intel Processor,2,0.98,10224.432,No,No,135.0942111925629,0,0,Intel,Windows
Lenovo,Gaming,Intel Core i5,8,2.5,53226.72,No,Yes,141.21199808219862,1000,128,Nvidia,Windows
HP,Notebook,AMD Processor,4,1.86,13746.24,No,No,100.45466986113651,500,0,AMD,Other OS
Dell,2 in 1 Convertible,Intel Core i5,8,1.62,43636.32,Yes,No,165.6321180513006,0,256,Intel,Windows
HP,Ultrabook,Intel Core i7,8,1.91,35111.52,No,No,141.21199808219862,0,256,Intel,Windows
Dell,Notebook,Intel Core i3,4,2.3,22305.1392,No,No,100.45466986113651,1000,0,Intel,Windows
Apple,Ultrabook,Intel Core i5,8,1.35,58554.72,No,No,127.67794013309688,0,0,Intel,Mac
Dell,Notebook,Intel Core i5,8,2.2,42624.0,No,No,141.21199808219862,0,256,AMD,Windows
Dell,Ultrabook,Intel Core i7,8,1.88,69157.44,No,No,141.21199808219862,0,512,Intel,Windows
HP,Notebook,Intel Core i5,8,2.5,47738.88,No,No,127.33567457123111,1000,0,Nvidia,Windows
Chuwi,Notebook,Other Intel Processor,4,1.89,13053.0672,No,No,141.21199808219862,0,0,Intel,Windows
Asus,Notebook,AMD Processor,2,1.65,10602.72,No,No,111.93520355955211,0,0,AMD,Windows
HP,Notebook,AMD Processor,4,2.71,23389.92,No,No,127.33567457123111,500,0,AMD,Windows
Dell,Ultrabook,Intel Core i7,16,1.2,99580.32,Yes,No,276.053530085501,0,512,Intel,Windows
Apple,Ultrabook,Intel Core i5,8,1.35,53173.44,No,No,127.67794013309688,0,0,Intel,Mac
Lenovo,Notebook,Other Intel Processor,4,1.44,13266.72,No,No,111.93520355955211,0,0,Intel,Windows
Acer,Notebook,Intel Core i3,4,2.1,19553.76,No,No,100.45466986113651,1000,0,Intel,Linux
Dell,Notebook,Intel Core i5,8,2.8,52161.12,No,Yes,127.33567457123111,1000,128,AMD,Windows
HP,Notebook,Intel Core i5,4,1.86,26037.4032,No,No,100.45466986113651,1000,0,Intel,Windows
HP,Notebook,Intel Core i5,8,2.1,46833.12,No,No,141.21199808219862,0,256,Nvidia,Windows
Asus,Notebook,Intel Core i3,4,2.0,20725.92,No,No,141.21199808219862,1000,0,Intel,Linux
Dell,Gaming,Intel Core i7,16,2.65,79866.72,No,Yes,141.21199808219862,1000,256,Nvidia,Windows
Asus,Notebook,Intel Core i5,8,2.3,27864.9072,No,No,100.45466986113651,1000,0,Nvidia,Linux
Acer,Notebook,Intel Core i5,4,2.2,36336.96,No,Yes,141.21199808219862,0,256,Intel,Windows
Dell,2 in 1 Convertible,Intel Core i5,12,2.77,53226.72,Yes,No,127.33567457123111,1000,0,Nvidia,Windows
Apple,Ultrabook,Intel Core i5,8,1.37,75604.32,No,Yes,226.98300468106115,0,256,Intel,Mac
Lenovo,Notebook,Intel Core i3,4,2.2,19660.32,No,No,100.45466986113651,0,128,Intel,Other OS
Asus,Gaming,AMD Processor,8,3.2,69210.72,No,No,127.33567457123111,1000,256,AMD,Windows
Dell,Notebook,Intel Core i5,4,2.3,34045.92,No,No,141.21199808219862,0,256,AMD,Windows
Asus,Notebook,Other Intel Processor,4,2.8,24828.48,No,No,90.58340172449303,1000,0,Nvidia,Windows
